reported,incident_type,occurred_start,occurred_end,location,street_address,city,disposition,latitude,longitude
2018-01-30 10:41:00,TRESPASS WARNING,2018-01-30 10:20:00,2018-01-30 10:43:00,GUTMAN LIBRARY,6 APPIAN WAY,CAMBRIDGE,CLOSED,42.37489069999999,-71.1217474
2018-01-30 12:39:00,ANNOYING CALLS/TEXTS/EMAILS,2018-01-29 15:00:00,2018-01-29 21:30:00,GORDON HALL,25 SHATTUCK ST,BOSTON,CLOSED,42.3356451,-71.104215
2018-01-30 14:06:00,PROPERTY DAMAGE,2018-01-25 08:00:00,2018-01-25 16:15:00,DENTAL SCHOOL,188 LONGWOOD AVE,BOSTON,CLOSED,0,0
2018-01-30 17:04:00,THEFT REPORT,2018-01-30 16:00:00,2018-01-30 17:00:00,KRESGE - SPH,677 HUNTINGTON AVE,BOSTON,CLOSED,42.3354484,-71.1027166
2018-01-09 04:39:00,NOISE COMPLAINT,2018-01-09 04:39:00,2018-01-09 04:39:00,MANTER HALL,2 HOLYOKE ST,CAMBRIDGE,CLOSED,42.3728531,-71.1179227
2018-01-09 10:18:00,SUSPICIOUS ACTIVITY,2018-01-09 02:00:00,2018-01-09 02:00:00,84 SEATTLE ST LOT,84 SEATTLE ST,ALLSTON,CLOSED,42.3612241,-71.1263305
2018-02-08 02:36:00,THEFT REPORT,2018-02-08 02:13:00,2018-02-08 03:10:00,LANDMARK CENTER,401 PARK DR,BOSTON,OPEN,42.3452194,-71.1024225
2018-02-08 12:12:00,WARRANT ARREST,2018-02-08 12:25:00,2018-02-08 15:00:00,LANDMARK CENTER,401 PARK DR,BOSTON,ARREST,42.3452194,-71.1024225
2018-02-08 13:20:00,THEFT REPORT,2017-10-08 12:00:00,2017-12-08 09:00:00,10 AKRON ST,10 AKRON ST,CAMBRIDGE,CLOSED,42.3656371,-71.1152429
2018-02-08 15:44:00,DEMONSTRATION,2018-02-08 15:44:00,2018-02-08 15:44:00,SCIENCE CENTER PLAZA,1 OXFORD ST,CAMBRIDGE,CLOSED,0,0
2018-02-08 22:10:00,TRESPASS WARNING,2018-02-08 22:05:00,2018-02-08 22:30:00,ATHLETICS - BRIGHT HOCKEY CENT,79 N HARVARD ST,ALLSTON,CLOSED,42.3683351,-71.12718260000001
2018-01-10 07:47:00,MOTOR VEHICLE ACCIDENT,2018-01-10 07:45:00,2018-01-10 07:45:00,OXFORD STREET GARAGE,52 OXFORD ST,CAMBRIDGE,CLOSED,42.3799895,-71.1153309
2018-01-10 08:13:00,TRESPASSING,2018-01-02 14:55:00,2018-01-02 15:15:00,BAKER- BLOOMBERG LIBRARY,25 HARVARD WAY,ALLSTON,CLOSED,42.3547619,-71.132843
2018-01-10 12:50:00,SUSPICIOUS ACTIVITY,2018-01-10 12:50:00,2018-01-10 12:50:00,ATHLETICS - GATE 3,79 N HARVARD ST,ALLSTON,CLOSED,42.3667301,-71.12749099999999
2018-02-11 00:07:00,SUSPICIOUS ACTIVITY,2018-02-11 00:07:00,2018-02-11 00:07:00,CABOT HOUSE - CABOT HALL,100 WALKER ST,CAMBRIDGE,CLOSED,42.3819083,-71.12393689999999
2018-02-11 00:25:00,UNWANTED GUEST,2018-02-11 00:25:00,2018-02-11 00:25:00,AMERICAN REPERTORY THEATRE,2 ARROW ST,CAMBRIDGE,CLOSED,42.3709361,-71.11433199999999
2018-02-11 00:54:00,SUSPICIOUS ACTIVITY,2018-02-11 00:54:00,2018-02-11 00:54:00,THAYER HALL EAST,21 HARVARD YARD,CAMBRIDGE,CLOSED,0,0
2018-02-11 02:40:00,SUSPICIOUS ACTIVITY,2018-02-11 02:40:00,2018-02-11 02:40:00,WIDENER LIBRARY,31 HARVARD YARD,CAMBRIDGE,CLOSED,0,0
2018-02-11 03:10:00,ASSIST CAMBRIDGE POLICE,2018-02-11 03:10:00,2018-02-11 03:10:00,LAMPOON,44 BOW ST,CAMBRIDGE,CLOSED,42.3715679,-71.1172089
2018-02-11 12:00:00,ASSIST BOSTON POLICE,2018-02-11 11:50:00,2018-02-11 11:53:00,CVS,1241 BOYLSTON,BOSTON,CLOSED,42.3453344,-71.09557629999999
2018-02-11 12:31:00,THEFT REPORT,2018-02-11 00:01:00,2018-02-11 13:00:00,RADCLIFFE CAMPUS DRIVE,45 SHEPARD ST,CAMBRIDGE,CLOSED,42.3810946,-71.12321539999999
2017-12-22 12:27:00,THEFT REPORT,2017-12-22 11:30:00,2017-12-22 12:27:00,SCIENCE CENTER PLAZA,1 OXFORD ST,CAMBRIDGE,CLOSED,42.3763452,-71.11660429999999
